transaction_id,account_id,amount,timestamp,counterparty,country,type
c740ebad-68e,291d1e82,20779.86,2026-05-01 06:35:25.484898,Anderson LLC,BR,withdrawal
8a502daf-04d,4a47e48d,5184.98,2026-05-15 23:55:25.484898,Dawson-Marshall,GB,withdrawal
66af8600-ddc,15d2e934,22507.9,2026-05-03 12:04:25.484898,Herring Ltd,US,withdrawal
afab1af0-dc4,845654f5,12519.96,2026-05-11 14:39:25.484898,Lawrence-Horton,US,withdrawal
f8d24e13-fef,8d4ddb4a,3718.85,2026-05-13 13:01:25.484898,Morse Inc,RU,transfer
83e44513-095,7af83bdf,6791.57,2026-05-16 10:00:25.484898,Brown and Sons,US,deposit
8c1711fb-607,29e90d3a,16832.9,2026-05-03 13:50:25.484898,Banks-Hamilton,US,deposit
6406260b-ad3,ac2088f9,10566.91,2026-05-20 08:14:25.484898,Thomas Ltd,NG,transfer
8bba5c64-f45,220323d8,1146.3,2026-05-24 15:55:25.484898,"Baker, Martinez and Yates",BR,deposit
7f7522d3-45e,d0cdcffc,10551.27,2026-05-17 08:42:25.484898,Farmer and Sons,BR,withdrawal
ca19a7fe-405,a5b12ee5,6907.23,2026-05-01 18:39:25.484898,"Mclean, Reynolds and Perkins",BR,withdrawal
3989ecd7-404,636fc7c9,6988.11,2026-05-17 14:45:25.484898,Dalton-Charles,CN,withdrawal
e85689bd-2ec,6ff93805,2205.79,2026-05-24 22:43:25.484898,Smith PLC,BR,withdrawal
067965b9-562,4ef7ad3d,10680.16,2026-05-13 06:41:25.484898,"Fox, Jones and Jimenez",NG,transfer
d3dbbf9a-aa8,4979cb73,20167.67,2026-05-12 23:32:25.484898,Salazar-Rodriguez,US,transfer
d748b741-ee0,0545ab98,7042.59,2026-05-03 15:45:25.484898,Cherry Inc,US,withdrawal
055bd73f-245,297e94ae,1859.5,2026-05-21 14:19:25.484898,"Ortiz, Sanchez and Walton",RU,withdrawal
23d25bc9-3cb,b76521e9,8714.11,2026-05-13 07:24:25.484898,"Ramirez, Avila and Lee",NG,deposit
b09b7050-4ae,48dac90c,5613.03,2026-05-25 18:04:25.484898,Morris PLC,BR,withdrawal
8066f7e7-c31,6200de9b,8375.87,2026-05-22 05:21:25.484898,"Bowman, Warner and Espinoza",CN,withdrawal
cb6abbd9-8f6,c5266777,22732.49,2026-05-12 17:26:25.484898,"Bryant, Rich and Pierce",GB,transfer
e961b76f-069,3d086723,596.77,2026-05-19 21:45:25.484898,Malone Inc,NG,withdrawal
6513a555-619,43c6553f,11619.48,2026-05-21 19:42:25.484898,Herrera-Smith,NG,withdrawal
ade088d0-d34,810b1694,6565.08,2026-05-14 09:32:25.484898,"Lane, Hale and Soto",US,deposit
c31eeccb-f76,3a0fd88c,2380.71,2026-05-17 06:07:25.484898,Velez LLC,CN,transfer
f6a767d7-782,0e1a9cfa,23876.79,2026-04-28 06:39:25.484898,"Gay, Gonzalez and Hull",BR,transfer
2c0ee97c-c05,86532959,14867.98,2026-05-03 05:25:25.484898,Compton-Simon,CN,transfer
cc829d1c-db5,c97e3977,21154.68,2026-05-17 09:06:25.484898,Chen Inc,RU,transfer
55db99ce-e78,11a03b1b,4656.53,2026-05-11 06:11:25.484898,Meza-Martinez,BR,transfer
0c2898a4-6e1,6508305e,20125.74,2026-05-20 14:13:25.484898,Johnson LLC,US,transfer
924af00e-5bf,ac649a2a,14577.05,2026-05-10 22:12:25.484898,"Mckee, Cole and Miller",GB,deposit
e99b48f7-cee,e2e19f38,17830.13,2026-05-25 14:51:25.484898,Martin-Robinson,BR,deposit
4fa031c5-173,dab8e395,10957.12,2026-05-03 15:48:25.484898,"Tucker, Figueroa and Black",RU,transfer
730cc6df-43a,b424ad61,16562.82,2026-05-19 14:43:25.484898,Wells-Murphy,GB,withdrawal
55d9bc0f-815,ad3e14b4,1797.51,2026-05-08 14:29:25.484898,"Cherry, White and Turner",RU,transfer
117a1654-0b3,caea40fb,593.43,2026-05-01 12:33:25.484898,"Hill, Gillespie and Mercado",NG,withdrawal
15e3b65d-0c7,30fa1bca,4652.46,2026-05-08 11:13:25.484898,Turner Group,US,transfer
42afbcbf-c1c,35dbfa14,3658.94,2026-05-11 15:11:25.484898,Collins Group,GB,withdrawal
59b20fb4-cfa,93260a34,18714.54,2026-05-03 03:02:25.484898,Rowland-Davis,NG,withdrawal
e644c986-062,5bd2990b,20339.81,2026-05-15 21:37:25.484898,"Morgan, Stein and Bailey",NG,deposit
4888b135-d66,609a1894,1048.41,2026-05-11 13:30:25.484898,"Porter, Lewis and Kim",GB,deposit
03e466b2-684,701c700f,8652.03,2026-05-12 19:37:25.484898,Kline-Garcia,BR,withdrawal
d6883a32-182,4d7978cf,7931.27,2026-05-03 12:33:25.484898,Payne-Clements,GB,withdrawal
a95c9ce1-5f9,742f2b47,14313.03,2026-05-20 08:25:25.484898,"Jones, Hubbard and Medina",RU,deposit
0086d87b-6c0,54e9b55c,4768.66,2026-05-17 22:53:25.484898,Hill-Cohen,US,transfer
066df222-ab9,ec487fc9,6356.97,2026-04-29 04:06:25.484898,Johnson-Hendricks,GB,withdrawal
30c6c8a3-a65,94b31a0e,19199.23,2026-05-04 08:54:25.484898,Smith Inc,RU,transfer
81599df4-3ff,88cfe8b3,16361.39,2026-05-21 08:30:25.484898,"Weaver, Vazquez and Mcdaniel",BR,withdrawal
0fc27594-e52,53893cb3,19549.38,2026-05-02 03:09:25.484898,"Williams, Smith and Berger",BR,deposit
69e1a76e-9fe,3c888256,2951.38,2026-05-10 16:33:25.484898,"Ward, Morrison and Martinez",US,transfer
91317890-466,a98702e4,24189.81,2026-05-21 03:13:25.484898,Santos PLC,NG,transfer
d7a748dc-dba,3647c7e8,19584.04,2026-05-06 16:40:25.484898,"Tucker, Mitchell and Stewart",NG,withdrawal
b0b27687-8b9,16a6ed48,17968.86,2026-05-25 00:28:25.484898,Butler PLC,BR,deposit
bf6cb1a0-2cc,97997e79,9117.85,2026-04-29 14:51:25.484898,Hampton-Alvarez,RU,withdrawal
98006a78-35b,efd3f7ad,22265.1,2026-05-02 20:47:25.484898,"Sosa, Allen and Mullins",CN,deposit
317ba7c9-6c6,f8878fd2,17296.86,2026-05-01 06:49:25.484898,Farmer-Smith,CN,withdrawal
6f31f7fc-5ff,956d9c22,15379.41,2026-04-29 01:35:25.484898,"Marshall, White and Lester",US,withdrawal
96665361-2d2,88b644a5,24282.88,2026-05-20 18:17:25.484898,"Nelson, Bradley and Rodriguez",RU,withdrawal
5a7eba35-94d,84db0e0a,5777.31,2026-05-25 18:11:25.484898,Norris-Lambert,NG,deposit
b2c9de4b-d97,74556632,8689.6,2026-05-23 15:03:25.484898,"Waters, Floyd and Schneider",US,withdrawal
dde8cbcc-3eb,20fb87f1,14243.63,2026-04-27 15:24:25.484898,"Parker, Robertson and Thompson",NG,withdrawal
44de6f35-8a2,2386031a,16600.23,2026-05-18 12:08:25.484898,"Brown, Tate and Cannon",GB,withdrawal
9fd24b09-b72,5662fa16,1321.22,2026-05-23 05:50:25.484898,"Downs, Gilbert and Cabrera",BR,transfer
bb57ced6-163,b3a04052,15618.53,2026-05-10 10:39:25.484898,Mendez and Sons,GB,withdrawal
1c53ba3e-797,191dceec,17830.77,2026-05-18 21:08:25.484898,Herrera-Griffith,BR,withdrawal
ab053c5a-96b,88d8b826,16071.22,2026-05-20 05:08:25.484898,Henderson PLC,CN,withdrawal
e72e44f0-388,79abd878,24063.67,2026-05-10 02:29:25.484898,Moore and Sons,NG,deposit
2eb3cec1-262,7de8a7ce,14589.53,2026-05-08 11:28:25.484898,Eaton Group,BR,withdrawal
6c3167c9-aa2,fbef6ca3,5611.0,2026-05-26 14:55:25.484898,"Melton, Harris and Brandt",GB,deposit
98bf2894-5c0,97633918,13357.61,2026-05-26 19:06:25.484898,"Miller, Payne and Benson",NG,withdrawal
f99809b2-20b,7c2c139d,6056.9,2026-05-04 16:57:25.484898,Gray-Carpenter,US,deposit
d16b99c0-b1b,8c7693fa,17439.15,2026-05-20 11:30:25.484898,Rowe-Clark,GB,transfer
eb0a9cc9-d39,deb74fc9,24698.53,2026-05-21 16:35:25.484898,Harris-Pearson,NG,transfer
bb414c35-94b,cc27ff69,22396.37,2026-05-15 16:57:25.484898,Perry PLC,CN,withdrawal
96602e94-060,11bc758d,3997.41,2026-05-19 13:51:25.484898,"Gibson, Clayton and Pruitt",NG,withdrawal
d628edaa-d02,9ecb5b0e,6241.23,2026-05-26 09:00:25.484898,Williams-Davis,US,transfer
58578270-640,49ed6cd0,24216.42,2026-05-26 15:24:25.484898,"Washington, Larsen and Carr",GB,withdrawal
376bdf9f-256,7898ef88,17761.43,2026-05-08 17:21:25.484898,Jackson PLC,BR,withdrawal
f0fe7e8b-942,c7f17335,8611.38,2026-05-21 03:05:25.484898,"Dominguez, Mccoy and Watkins",BR,withdrawal
ccffdb77-f0a,5b82dbe9,22191.63,2026-05-03 15:12:25.484898,Stephens PLC,BR,deposit
711ab3cd-0c4,a284f280,6994.13,2026-05-14 09:23:25.484898,Jensen-Torres,NG,deposit
6d8f7b80-c33,61334a60,22435.54,2026-05-21 14:01:25.484898,Brown-Munoz,GB,withdrawal
22e446f4-45a,b43f085a,18256.01,2026-05-18 12:19:25.484898,Mitchell Ltd,CN,withdrawal
2c4cc03b-d4c,2452972e,20211.48,2026-04-30 16:04:25.484898,Anderson-Perez,RU,transfer
d229fc41-6c8,b72d8205,13829.0,2026-05-12 00:11:25.484898,"Soto, Parrish and Horton",BR,withdrawal
48c637fd-c30,d949c656,4687.13,2026-05-09 16:57:25.484898,Bradley Group,GB,transfer
8127af17-c99,eb993da8,7567.77,2026-05-20 23:32:25.484898,Peterson-Williams,BR,deposit
0fbfe19c-798,bc6bc192,8213.59,2026-05-20 23:55:25.484898,Cox-Ray,NG,transfer
4eb97402-aa7,40cbef0d,24983.11,2026-05-19 18:02:25.484898,"Wong, Perez and Delgado",GB,withdrawal
a2a15688-8de,6d63e8e5,16492.93,2026-05-22 16:06:25.484898,"Tran, Myers and Anderson",BR,withdrawal
a377cd9e-52b,be486ab8,9706.32,2026-05-18 16:00:25.484898,Sparks and Sons,RU,transfer
9b8fdedb-9e0,1455c68f,8371.82,2026-05-20 00:44:25.484898,Harrison PLC,CN,deposit
ada07b15-192,fe4335a6,1733.45,2026-05-04 19:31:25.484898,Patel-Cook,BR,transfer
b0228035-769,ef94fcbc,13750.84,2026-04-27 16:40:25.484898,Marquez LLC,BR,deposit
543cc7d9-399,ebf4d247,563.57,2026-05-14 20:52:25.484898,Ferguson and Sons,BR,transfer
22d82a36-fc3,34bf2416,3083.59,2026-05-19 07:27:25.484898,Singh-Johnson,NG,deposit
1ee623c9-e56,53bf5841,11867.95,2026-05-17 00:02:25.484898,Nash PLC,CN,withdrawal
8f73230b-b06,ebb03723,15167.5,2026-05-02 20:04:25.484898,Black Inc,NG,withdrawal
baa3730d-6d3,1b58be1b,13823.44,2026-05-12 18:23:25.484898,Montgomery-Miller,CN,deposit
213c4127-489,f3cc77b5,23786.06,2026-05-17 15:50:25.484898,Morales-Hebert,BR,deposit
0b91ab0e-1d3,45b6b48d,20762.55,2026-05-18 05:24:25.484898,Morris Inc,US,transfer
276e0b37-021,3d572ece,17537.54,2026-05-14 06:02:25.484898,Lee Group,GB,transfer
f97a1c8e-255,c97e78ec,2880.88,2026-04-29 15:03:25.484898,"Jackson, Solis and Ryan",US,deposit
f680ac01-a05,92f02bf8,12012.24,2026-04-30 04:52:25.484898,"Salinas, Hunt and Johnson",CN,transfer
a222fabd-841,1dec0da0,4921.24,2026-04-28 19:42:25.484898,Miller-Stewart,BR,deposit
2009a989-571,3e1cce8a,20355.55,2026-05-03 01:37:25.484898,Perkins-Saunders,BR,transfer
7e98c2f5-08b,1ba17feb,8225.02,2026-05-05 08:58:25.484898,"Horn, Henry and Oconnell",CN,withdrawal
addf0e36-437,67bb7342,11796.35,2026-05-13 02:40:25.484898,Suarez-Elliott,BR,withdrawal
ad3ec18a-a01,7a8e1810,968.56,2026-05-14 01:53:25.484898,"Harper, Wilson and Kemp",GB,deposit
13610e8b-479,243233e4,18345.38,2026-05-17 23:50:25.484898,Morgan-Barnes,BR,deposit
bd6db072-613,81ee0c38,24485.38,2026-05-21 18:47:25.484898,Patel-Butler,RU,transfer
fbca9c3c-7cb,a5a5c066,1309.27,2026-05-14 14:02:25.484898,"Bryant, Williams and Bates",NG,transfer
9776e484-86b,c1e60baa,153.86,2026-05-25 14:56:25.484898,"Logan, Bailey and Wilson",CN,transfer
0c868793-a46,957b6f7d,3434.96,2026-05-22 10:58:25.484898,Thomas Ltd,RU,deposit
c7e5f964-4a9,522c87f5,16551.94,2026-05-03 02:32:25.484898,Parker PLC,US,deposit
4415dd33-3c4,a5b95cb2,24168.37,2026-05-20 13:51:25.484898,Willis Group,NG,withdrawal
08f42645-7b3,bbfc88b9,23709.86,2026-05-23 09:16:25.484898,Mcgrath-Allen,US,deposit
6c255e7e-643,8e3bbbda,12128.07,2026-05-24 11:27:25.484898,Velez Group,US,withdrawal
4cf1761f-154,382a3c2a,4586.03,2026-05-18 11:09:25.484898,Thompson-Mccullough,US,transfer
a797390b-df6,90520fc7,9132.73,2026-05-14 05:31:25.484898,Bryant-Taylor,GB,transfer
e86b3b41-949,267ec461,3876.84,2026-04-30 04:45:25.484898,"Bright, Rodriguez and Reid",RU,withdrawal
e595d158-501,52c55278,17084.24,2026-05-27 07:07:25.484898,"Chavez, Garner and Johnson",CN,transfer
36f3346b-2bc,405db312,16141.31,2026-05-09 07:53:25.484898,Lynn Inc,NG,transfer
743f6e9a-8fc,21eb308a,15263.04,2026-05-10 02:52:25.484898,Cook Group,NG,transfer
87c652cb-ed9,9e9c94fd,3519.72,2026-05-06 23:53:25.484898,Garner Ltd,NG,withdrawal
1d221a6f-cb1,72e2ae35,20159.7,2026-05-06 20:57:25.484898,Ball Group,US,withdrawal
1204c3fc-203,a4de4994,13883.59,2026-05-15 14:51:25.484898,"Wiggins, Robinson and Adams",GB,deposit
7ff76b45-032,425f66dd,2359.53,2026-05-04 22:31:25.484898,Gray LLC,BR,transfer
41fd67e6-fa2,fbf5a5b3,7388.21,2026-04-29 07:12:25.484898,Curtis Inc,NG,deposit
9d172ea5-6c6,5c4bb497,23592.5,2026-05-14 18:51:25.484898,Brooks Group,CN,deposit
e96dd55b-3e5,fdb000a7,16537.59,2026-05-05 08:29:25.484898,Walker and Sons,NG,transfer
996f0e1d-6e8,3da2c0c3,22620.63,2026-04-30 15:06:25.484898,"Martin, Baker and Cohen",GB,deposit
712bbcc7-bc0,4a23c3c3,6063.42,2026-05-16 21:52:25.484898,Richardson-Jones,NG,withdrawal
866d8f09-749,cc20c5dc,18615.0,2026-05-21 15:46:25.484898,Sherman Ltd,GB,transfer
118f031f-e51,e4274be2,14440.09,2026-05-15 13:03:25.484898,Ingram Ltd,US,withdrawal
0adc3f2b-b77,589d91dd,9402.99,2026-05-23 20:26:25.484898,"Evans, Huff and Russell",RU,withdrawal
f26c42af-ece,d340a559,24473.28,2026-04-30 14:35:25.484898,"Herring, Rivera and Hobbs",BR,withdrawal
83d4181a-1c7,023c8f23,14615.4,2026-05-20 06:02:25.484898,"Patel, Zamora and West",CN,withdrawal
090d6d10-c5f,d6bdd17f,14936.38,2026-05-01 05:16:25.484898,Johnson Group,US,deposit
6c7bd31e-3e1,18409d7e,20464.44,2026-05-06 00:55:25.484898,"Lopez, Martin and Cox",GB,deposit
f3159332-9d4,c6f7df15,10700.65,2026-05-27 10:41:25.484898,Ellis Inc,GB,transfer
0a057162-05e,d8b690ae,1134.28,2026-05-24 14:25:25.484898,Elliott-Erickson,BR,withdrawal
09f588ba-99c,5f46a09f,24331.28,2026-05-26 22:13:25.484898,"Nolan, Carrillo and Gutierrez",GB,deposit
528e1260-3fb,d0db1d92,19156.99,2026-05-17 05:59:25.484898,"Villarreal, Johnson and Jenkins",CN,transfer
3db33cc3-7d7,04d2c812,22003.82,2026-05-20 21:18:25.484898,"Rodriguez, Scott and White",RU,transfer
59ccf457-e01,8522afbb,14242.72,2026-04-28 23:24:25.484898,Cobb-Reilly,NG,deposit
ca49bb12-2d6,3edadc1f,15185.76,2026-05-06 17:25:25.484898,"Grant, Mcfarland and Tate",RU,transfer
8063b7cc-235,aea9253d,11785.46,2026-05-11 01:37:25.484898,Lee-Humphrey,GB,withdrawal
3b5153f8-c62,5328adb7,3897.01,2026-05-12 23:59:25.484898,"Scott, Carey and Walker",BR,transfer
4e7ea3bd-f62,38e9ea1e,3930.17,2026-05-18 12:03:25.484898,"Myers, Boone and Smith",RU,deposit
13fdd365-96a,e4d15f4b,19417.91,2026-05-04 05:40:25.484898,Nguyen-Vaughn,NG,transfer
74715e9b-ba3,21b4db9d,24504.06,2026-05-07 01:31:25.484898,Scott Ltd,NG,withdrawal
ddc437ea-d98,3674907b,20131.97,2026-05-17 13:13:25.484898,Brady Ltd,US,withdrawal
a25162fd-306,0b3cf276,14262.77,2026-05-19 15:29:25.484898,Moyer-Cole,CN,transfer
217403ae-8dc,1416c4a1,13265.41,2026-05-26 14:41:25.484898,Reed Ltd,CN,deposit
9b7d28f5-166,22e46e66,17818.17,2026-05-26 16:27:25.484898,"White, Vasquez and Thomas",NG,withdrawal
eb2e21ee-cc5,e5b19f52,13520.47,2026-05-17 09:32:25.484898,"Andrews, Bentley and Carey",BR,transfer
45d5270d-578,2547e0da,23823.54,2026-05-20 08:35:25.484898,Fry and Sons,GB,deposit
b205d5dc-9d0,53458b7b,3380.34,2026-05-15 09:19:25.484898,Woods-Ross,US,withdrawal
0b5df45d-974,abde452f,10725.54,2026-05-05 05:38:25.484898,"Schaefer, Freeman and Velez",CN,withdrawal
ba4e7053-6b8,c50f8584,11533.12,2026-05-14 13:12:25.484898,Griffin-Levy,BR,deposit
f7fdaba0-ded,25dc857f,22176.8,2026-05-19 19:33:25.484898,"Owens, Edwards and Tucker",RU,deposit
33ebae4c-8cb,9f3bb445,2199.1,2026-05-22 16:27:25.484898,Gregory Ltd,US,withdrawal
8868d97a-e6e,4ab94505,19799.89,2026-05-15 10:48:25.484898,Roberts Inc,RU,transfer
894fa45a-db5,5357ba48,15107.9,2026-05-03 05:55:25.484898,"Gutierrez, Richardson and Luna",GB,transfer
6a4d36a3-2ac,5ee888a8,23813.0,2026-05-24 03:23:25.484898,Roberson-Castillo,CN,withdrawal
ec3fbac3-a89,5f081e27,9528.22,2026-05-07 08:13:25.484898,Thomas-Hughes,US,deposit
be0165fc-b6a,c11eae27,3924.41,2026-05-20 10:58:25.484898,Houston-Dyer,US,withdrawal
eeb9c103-b86,96b86ac3,19023.07,2026-04-29 16:42:25.484898,"Morgan, Flores and Lewis",NG,withdrawal
7017b94f-e17,52aeb03a,218.59,2026-05-10 04:58:25.484898,Willis PLC,GB,deposit
40b29660-8b7,e78f0d7f,10575.14,2026-05-20 00:25:25.484898,Rowe-Baker,NG,withdrawal
e269c2bf-534,1c11d8e4,15220.46,2026-05-10 06:48:25.484898,Smith and Sons,RU,transfer
0e0c4dbe-7e7,ec00fb9d,12232.6,2026-05-14 21:47:25.484898,Smith-Salazar,RU,transfer
a9474531-8e6,67c365f5,4370.87,2026-05-15 01:00:25.484898,Butler-Mcfarland,GB,deposit
8e73777b-10f,e94e8f61,22156.0,2026-05-26 03:09:25.484898,"Zimmerman, Mason and Brown",RU,deposit
3414639a-c9a,8cae4153,14932.24,2026-05-12 05:06:25.484898,"Jones, Adams and Villarreal",BR,transfer
4facc63b-791,688f6666,1393.7,2026-05-14 17:01:25.484898,"Franklin, Gonzales and Castillo",GB,transfer
17840668-d85,4ca0448b,22137.66,2026-05-17 04:56:25.484898,Marsh-Randolph,BR,deposit
99fd4efe-7c0,36b84821,6115.98,2026-05-16 23:06:25.484898,"Wall, Thompson and Gomez",CN,withdrawal
68527a80-c51,736a2d53,4370.34,2026-05-07 01:03:25.484898,Sloan PLC,NG,deposit
d6a93a7b-abd,0fdab00f,19815.26,2026-05-20 05:46:25.484898,Cochran-Taylor,GB,withdrawal
dea3e488-ca9,058fd0e7,1184.81,2026-05-07 14:45:25.484898,Butler Inc,CN,withdrawal
52efa698-50a,41f84adc,22940.39,2026-05-23 06:22:25.484898,Weaver PLC,NG,deposit
ded0e02b-1ca,919395a5,16397.1,2026-05-12 04:16:25.484898,Myers LLC,CN,deposit
4389c36f-638,87bce2fd,16266.17,2026-05-20 21:37:25.484898,"Arnold, Miller and Evans",NG,transfer
5e9305ea-73c,9a6d4428,17582.73,2026-05-04 10:24:25.484898,Rogers Group,CN,withdrawal
27d40053-c0e,cf685342,13207.43,2026-05-23 06:06:25.484898,"Moore, Sutton and Orozco",CN,deposit
60106ec3-7a4,c1b39e36,4271.58,2026-05-11 12:12:25.484898,Hoffman PLC,US,withdrawal
dd43aeb4-899,f450fb07,55.78,2026-05-24 20:24:25.484898,Davis-Martinez,RU,transfer
6d1550f4-4ec,eeb8d80c,616.77,2026-05-04 14:52:25.484898,Davidson-Cain,CN,transfer
8b1f8ff1-621,7f6e4566,19585.23,2026-05-24 21:22:25.484898,Davis-Hardin,CN,deposit
c15bf6bd-184,2246c487,4089.66,2026-05-15 18:29:25.484898,Reese-Gould,GB,withdrawal
89eb1e18-86c,4e4585c6,3314.99,2026-05-10 03:09:25.484898,Holland PLC,NG,transfer
d69d68cb-8b0,645edcc7,5385.31,2026-05-18 01:43:25.484898,Conrad PLC,BR,transfer
